label,파종기,정식기,초장,생과중,성숙기..착색기.,개화기,착과형태,과폭,과장,천립중,주경장,엽장,엽폭,과실.속살의.두께,과실.심실의.수,절간장
1,312,507,188,NA,NA,NA,2,NA,13.1,NA,NA,NA,NA,NA,NA,NA
1,225,NA,135,NA,NA,630,2,2.3,12,NA,37.5,16.7,6.6,2,2.4,12.5
3,312,507,191,NA,NA,NA,2,NA,13.5,NA,NA,NA,NA,NA,NA,NA
1,302,418,107,NA,NA,601,2,NA,4.2,6.6,44,11.2,3.9,NA,NA,10.6
1,302,418,107,NA,NA,601,2,NA,4.2,6.6,44,11.2,3.9,NA,NA,10.6
1,302,418,141,NA,NA,603,2,NA,6.9,4.2,39,12.3,6.1,NA,NA,8.1
1,302,418,141,NA,NA,603,2,NA,6.9,4.2,39,12.3,6.1,NA,NA,8.1
1,314,429,200,10.8,NA,609,2,1.9,7.5,6.5,40,9.2,3.7,2,NA,NA
1,302,418,140,NA,NA,603,1,NA,9.7,6,37,10.4,4.5,NA,NA,9.4
1,302,418,140,NA,NA,603,1,NA,9.7,6,37,10.4,4.5,NA,NA,9.4
1,302,418,171,NA,NA,610,2,NA,7.8,6.3,47,9.9,5.1,NA,NA,10.1
1,302,418,171,NA,NA,610,2,NA,7.8,6.3,47,9.9,5.1,NA,NA,10.1
1,314,429,190,8.6,NA,615,2,2.2,7.9,3.5,35,9,4,1.2,NA,NA
3,421,603,NA,NA,NA,722,2,NA,4.5,NA,73,NA,NA,1.2,NA,NA
3,225,NA,140,NA,NA,715,2,1.3,7.9,NA,45.1,15.2,6.6,1.3,2,15.7
1,302,418,108,NA,NA,603,2,NA,10,5.8,55,11.8,5.4,NA,NA,10.1
1,302,418,108,NA,NA,603,2,NA,10,5.8,55,11.8,5.4,NA,NA,10.1
1,302,418,110,NA,NA,530,2,NA,7.2,6.8,29,10.8,5.1,NA,NA,10.7
1,314,429,100,29.5,NA,526,2,3.5,11.7,6.5,24,12.8,6.2,2.3,NA,NA
3,225,NA,96.7,NA,NA,609,2,1.6,5.8,NA,25,14.1,5.3,2.2,3.4,10.4
